facility_code,facility_name,network_id,network_region,latitude,longitude,unit_code,unit_code_display,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,max_generation,registered_date,expected_closure_date,data_first_seen,data_last_seen
BREMER_BAY,Bremer Bay,WEM,WEM,-34.399033,119.389377,BREMER_BAY_WF1,BREMER_BAY_WF1,wind,operating,0.6,0.6,,94.3667,,2033-12-31T16:00:00+10:00,2013-12-18T08:00:00+10:00,2026-08-01T14:15:00+10:00
BRNDBES,Brendale,NEM,QLD1,-27.329333,152.974384,BRNDBES1,BRNDBES1,battery,operating,215,205,410,206.7621,,2065-12-31T14:00:00+08:00,2025-09-09T15:45:00+08:00,2026-08-01T16:20:00+08:00
BRDD,Broadsound,NEM,QLD1,-22.810001,149.36302,BRDDBES1,BRDDBES1,battery,operating,240,180,360,182.4976,,2055-12-31T14:00:00+10:00,2026-04-22T10:50:00+10:00,2026-08-01T16:20:00+10:00
BRDD,Broadsound,NEM,QLD1,-22.810001,149.36302,BRDDSF01,BRDDSF01,solar_utility,commissioning,368,296,,256.8929,,2055-12-31T14:00:00+10:00,2025-12-24T00:20:00+10:00,2026-08-01T16:00:00+10:00
BWTR1,Broadwater,NEM,NSW1,-29.016483,153.445756,BWTR1,BWTR1,bioenergy_biomass,operating,38,38,,28.5228,,2037-12-31T14:00:00+10:00,2023-08-01T00:05:00+10:00,2026-08-01T16:10:00+10:00
BHILLGT,Broken Hill,NEM,NSW1,-31.986313,141.42062,GB01,GB01,distillate,operating,50,50,,45.528,,2026-12-31T14:00:00+10:00,2009-07-02T18:00:00+10:00,2026-07-11T13:00:00+10:00
BROKENH,Broken Hill,NEM,NSW1,-31.987538,141.391994,BROKENH1,BROKENH1,solar_utility,operating,53,53,,54.8943,,2042-12-31T14:00:00+10:00,2015-09-15T10:55:00+10:00,2026-08-01T16:20:00+10:00
BHB,Broken Hill Battery,NEM,NSW1,-31.986306,141.422951,BHB1,BHB1,battery,operating,66,50,50,50.2277,,2042-12-31T14:00:00+10:00,2024-08-08T17:55:00+10:00,2026-08-01T16:20:00+10:00
BROOKLYN,Brooklyn,NEM,VIC1,-37.818597,144.828492,BROOKLYN,BROOKLYN,bioenergy_biogas,operating,2.83,3,,,,2049-12-31T14:00:00Z,,
BROWNMT,Brown Mountain,NEM,NSW1,-36.594993,149.473997,BROWNMT,BROWNMT,hydro,operating,5,6,,,,,,
BPLANDF,Browns Plains,NEM,QLD1,-27.674584,153.068499,BPLANDF1,BPLANDF1,bioenergy_biogas,operating,2,2,,,,2049-12-31T14:00:00Z,,
BULGANA,Bulgana Green Power Hub,NEM,VIC1,-37.039507,142.982799,BULBES1,BULBES1,battery,operating,24,20,34,22.84,,2048-12-31T14:00:00+10:00,2024-10-02T13:10:00+10:00,2026-08-01T16:20:00+10:00
BULGANA,Bulgana Green Power Hub,NEM,VIC1,-37.039507,142.982799,BULGANA1,BULGANA1,wind,operating,204,204,,204.56,,2048-12-31T14:00:00+10:00,2020-05-14T11:15:00+10:00,2026-08-01T16:20:00+10:00
BUSF,Bundaberg,NEM,QLD1,-24.943515,152.020698,BUSF1,BUSF1,solar_utility,operating,101,78,,78.39,,2054-12-31T14:00:00+10:00,2026-03-04T13:35:00+10:00,2026-08-01T16:20:00+10:00
BNGSF1,Bungala One,NEM,SA1,-32.415846,137.841225,BNGSF1,BNGSF1,solar_utility,operating,135,110,,113.47,,2043-12-31T14:00:00+10:00,2018-05-14T17:50:00+10:00,2026-08-01T16:20:00+10:00
BNGSF2,Bungala Two,NEM,SA1,-32.415846,137.841225,BNGSF2,BNGSF2,solar_utility,operating,135,110,,111.3067,,2043-12-31T14:00:00+10:00,2018-10-30T08:15:00+10:00,2026-08-01T16:20:00+10:00
BUNGAMB,Bungama,NEM,SA1,-33.191223,138.08733,BUNGAMB1,BUNGAMB1,battery,operating,217,150,300,150.09,,2050-12-31T14:00:00+10:00,2025-12-16T14:15:00+10:00,2026-08-01T16:20:00+10:00
BDONGHYD,Burrendong,NEM,NSW1,-32.664624,149.107959,BDONGHYD,BDONGHYD,hydro,operating,19,19,,,,2035-12-31T14:00:00Z,,
BURRIN,Burrinjuck,NEM,NSW1,-35.003008,148.582864,BURRIN,BURRIN,hydro,operating,34,34,,,,2059-12-31T14:00:00Z,,
BUTLERSG,Butlers Gorge,NEM,TAS1,-42.266898,146.261823,BUTLERSG,BUTLERSG,hydro,operating,14.4,15,,14,,2099-12-31T14:00:00+10:00,2009-07-01T00:05:00+10:00,2026-08-01T16:20:00+10:00
CALL_B,Callide B,NEM,QLD1,-24.346016,150.61856,CALL_B_2,CALL_B_2,coal_black,operating,350,385,,376.75,,2030-12-31T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
CALL_B,Callide B,NEM,QLD1,-24.346016,150.61856,CALL_B_1,CALL_B_1,coal_black,operating,350,385,,386,,2030-12-31T14:00:00+10:00,1998-12-07T02:50:00+10:00,2026-08-01T16:20:00+10:00
CALLIDEC1,Callide C,NEM,QLD1,-24.346016,150.61856,CPP_3,CPP_3,coal_black,operating,466,466,,504.35,,2037-12-31T14:00:00+10:00,2001-02-08T10:05:00+10:00,2026-08-01T16:20:00+10:00
CALLIDEC1,Callide C,NEM,QLD1,-24.346016,150.61856,CPP_4,CPP_4,coal_black,operating,420,466,,482.35,,2037-12-31T14:00:00+10:00,2001-08-01T14:40:00+10:00,2026-08-01T16:20:00+10:00
CANUNDA1,Canunda,NEM,SA1,-37.698303,140.383633,CNUNDAWF,CNUNDAWF,wind,operating,46,46,,45.0608,,2034-12-31T14:00:00+10:00,2009-07-01T00:05:00+10:00,2026-08-01T16:20:00+10:00
CAPBES,Capital,NEM,NSW1,-35.338251,149.215529,CAPBES1,CAPBES1,battery,operating,125,100,200,101.61,,2047-12-31T14:00:00+10:00,2024-09-24T14:50:00+10:00,2026-08-01T16:20:00+10:00
CAPTL_WF,Capital,NEM,NSW1,-35.123534,149.500249,CAPTL_WF,CAPTL_WF,wind,operating,140,140,,138.6016,,2039-12-31T14:00:00+10:00,2009-07-04T17:10:00+10:00,2026-08-01T06:00:00+10:00
CESF,Capital East,NEM,NSW1,-35.180684,149.546482,CESF1,CESF1,solar_utility,operating,0.2,1,,,,2042-12-31T14:00:00Z,,
CRWARP,Carwarp,NEM,VIC1,-34.454955,142.15808,CRWARP1,CRWARP1,solar_utility,operating,186,150,,190.65,,,2025-12-05T11:35:00+10:00,2026-08-01T16:20:00+10:00
LI_WY_CA,Catagunya / Liapootah / Wayatinah,NEM,TAS1,-42.376279,146.510051,LI_WY_CA,LI_WY_CA,hydro,operating,173.7,192,,183.7836,,2099-12-31T14:00:00+10:00,2005-05-16T13:35:00+10:00,2026-08-01T16:20:00+10:00
CATHROCK,Cathedral Rocks,NEM,SA1,-34.848741,135.592649,CATHROCK,CATHROCK,wind,operating,66,66,,63.8,,2029-12-31T14:00:00+10:00,2009-07-01T00:05:00+10:00,2026-08-01T16:20:00+10:00
CTHLWF,Cattle Hill,NEM,TAS1,-42.149661,146.724045,CTHLWF1,CTHLWF1,wind,operating,148,144,,145.0675,,2043-12-31T14:00:00+10:00,2020-01-07T09:35:00+10:00,2026-08-01T16:20:00+10:00
